"Id","YearBuilt","YearRemodelled","NumberOfBedrooms","NumberOfBathrooms","NumberOfFloors","LivingArea","BasementExisting","FireplaceExisting","PoolExisting","GarageExisting","GarageCarCount","CloseToCommute","SalesCondition","ZipCode","City","StateAbbreviation","State","SalesPrice"
1959,1963,0,3,1.0,1.0,1030,0,1,0,0,0,0,4,98056,"RENTON","WA","Washington",427200.0
1960,1963,1963,3,2.0,1.0,1121,1,0,0,1,2,0,4,90251,"HAWTHORNE","CA","California",139000.0
1961,1961,2007,3,2.0,3.0,999,1,0,0,1,2,1,4,90255,"HUNTINGTON PARK","CA","California",178400.0
1962,1977,0,3,2.25,1.0,1900,1,0,1,0,0,1,4,98055,"RENTON","WA","Washington",280000.0
1963,1968,0,5,3.0,1.0,3070,1,0,1,0,0,1,4,98006,"BELLEVUE","WA","Washington",718000.0
1964,1998,1999,4,3.5,2.0,2612,1,1,0,1,3,0,4,90301,"INGLEWOOD","CA","California",336000.0
1965,2007,2007,2,2.0,1.0,1266,1,1,0,1,2,1,4,90302,"INGLEWOOD","CA","California",159895.0
1966,2010,0,2,2.75,2.0,1760,0,0,1,1,1,0,3,98065,"SNOQUALMIE","WA","Washington",420000.0
1967,1952,0,2,1.0,1.0,930,0,1,0,1,2,1,3,98117,"SEATTLE","WA","Washington",379000.0
1968,2002,2002,4,2.5,2.0,2290,1,1,0,1,2,1,4,90303,"INGLEWOOD","CA","California",255900.0
1969,1977,1977,4,2.0,1.5,1734,0,0,0,1,2,1,4,90304,"INGLEWOOD","CA","California",126000.0
1970,1942,0,2,1.0,1.0,880,0,0,0,0,0,1,3,98177,"SEATTLE","WA","Washington",326100.0
1971,2003,0,3,2.5,3.0,1360,1,0,1,1,1,1,3,98115,"SEATTLE","WA","Washington",535000.0
1972,1950,1950,3,2.0,1.0,1164,1,0,0,1,1,0,4,90305,"INGLEWOOD","CA","California",125000.0
1973,1910,2003,2,1.0,1.5,1635,1,0,0,1,1,1,4,90306,"INGLEWOOD","CA","California",117000.0
1974,1992,0,4,2.75,1.0,2130,1,1,0,1,3,0,3,98022,"ENUMCLAW","WA","Washington",283000.0
1975,1940,0,3,1.0,1.5,1480,1,1,1,0,0,0,3,98168,"SEATTLE","WA","Washington",260000.0
1976,2009,2010,3,3.5,1.0,1940,1,1,0,1,3,1,5,90307,"INGLEWOOD","CA","California",395192.0
1977,1976,1976,4,2.5,2.0,2030,1,1,0,1,2,1,4,90308,"INGLEWOOD","CA","California",195000.0
1978,1951,0,4,1.0,1.5,1500,0,0,0,0,0,0,4,98126,"SEATTLE","WA","Washington",399000.0
1979,2006,2006,3,2.5,2.0,1576,1,0,0,1,2,0,5,90309,"INGLEWOOD","CA","California",197000.0
1980,1987,0,3,2.25,2.0,1670,0,1,1,1,1,0,3,98029,"ISSAQUAH","WA","Washington",484950.0
1981,1960,0,4,1.75,1.0,2060,0,1,1,0,0,0,4,98005,"BELLEVUE","WA","Washington",640000.0
1982,1997,1998,3,3.5,2.0,2392,1,1,0,1,3,1,4,90310,"INGLEWOOD","CA","California",348000.0
1983,1882,1986,4,1.5,2.0,1742,1,1,0,1,2,1,4,90311,"INGLEWOOD","CA","California",168000.0
1984,1952,0,4,2.5,1.0,2160,1,0,1,1,3,1,4,98115,"SEATTLE","WA","Washington",585000.0
1985,1955,0,4,2.0,1.0,2780,1,1,1,0,0,0,3,98125,"SEATTLE","WA","Washington",645000.0
1986,1964,1993,3,2.5,2.0,1851,1,1,0,1,2,1,4,90312,"INGLEWOOD","CA","California",187000.0
1987,1988,0,3,2.0,1.0,1490,0,1,0,0,0,0,3,98003,"FEDERAL WAY","WA","Washington",253000.0
1988,2005,2006,3,2.5,2.0,1500,1,0,0,1,2,0,5,90260,"LAWNDALE","CA","California",173900.0
1989,1953,0,2,1.0,1.0,740,0,0,1,0,0,0,3,98146,"SEATTLE","WA","Washington",178500.0
1990,2006,2007,3,3.0,1.0,1718,1,1,0,1,3,1,4,90261,"LAWNDALE","CA","California",337500.0
1991,1991,0,4,2.5,2.0,1860,0,1,1,0,0,1,4,98038,"MAPLE VALLEY","WA","Washington",291000.0
1992,1946,1950,3,2.5,1.5,1230,1,0,0,1,1,1,5,90001,"LOS ANGELES","CA","California",121600.0
1993,1920,0,2,2.75,1.5,1590,0,0,0,1,1,0,3,98001,"AUBURN","WA","Washington",199950.0
1994,1961,1961,3,2.0,1.0,1050,1,0,0,1,1,0,4,90002,"LOS ANGELES","CA","California",136500.0
1995,1970,1970,2,2.0,1.0,1442,1,1,0,1,2,1,4,90003,"LOS ANGELES","CA","California",185000.0
1996,1922,0,2,1.0,1.0,850,0,0,1,1,2,1,3,98105,"SEATTLE","WA","Washington",553500.0
1997,1922,1950,3,1.0,1.0,1077,1,1,0,1,1,1,4,90004,"LOS ANGELES","CA","California",91000.0
1998,1981,0,2,1.0,1.0,1030,0,1,0,1,1,0,3,98038,"MAPLE VALLEY","WA","Washington",189950.0
1999,1988,0,3,2.0,1.0,1850,0,1,1,1,3,0,3,98001,"AUBURN","WA","Washington",289000.0
2000,2006,2006,2,3.0,1.0,1208,1,0,0,1,2,0,4,90005,"LOS ANGELES","CA","California",206000.0
2001,1952,1952,2,1.0,1.0,944,0,0,0,1,2,1,4,96101,"ALTURAS","CA","California",82000.0
2002,1908,0,4,2.0,2.0,1830,0,0,1,1,1,0,3,98105,"SEATTLE","WA","Washington",700000.0
2003,1967,0,3,2.0,1.0,1560,0,1,1,1,1,0,3,98058,"RENTON","WA","Washington",270000.0
2004,1920,1950,2,1.0,1.0,691,1,0,0,1,1,0,5,96103,"BLAIRSDEN-GRAEAGLE","CA","California",86000.0
2005,1977,0,4,1.75,1.0,1730,1,0,0,1,3,0,3,98023,"FEDERAL WAY","WA","Washington",258000.0
2006,2006,2006,3,2.0,1.0,1574,1,1,0,1,3,0,4,96140,"CARNELIAN BAY","CA","California",232000.0
2007,1976,1976,4,2.0,1.0,1680,1,0,0,1,2,0,4,96104,"CEDARVILLE","CA","California",136905.0
2008,2005,0,3,2.5,2.0,1930,0,0,1,0,0,0,3,98125,"SEATTLE","WA","Washington",530000.0
2009,2005,2006,1,2.0,1.0,1504,1,1,0,1,2,1,4,96105,"CHILCOOT","CA","California",181000.0
2010,2012,0,3,2.25,2.0,1422,0,0,0,0,0,1,3,98092,"AUBURN","WA","Washington",245000.0
2011,1917,0,3,2.0,1.5,1380,0,0,0,1,2,0,4,98117,"SEATTLE","WA","Washington",563000.0
2012,1977,1977,3,2.0,3.0,985,1,0,0,1,1,1,4,96106,"CLIO","CA","California",149900.0
2013,1970,1970,3,2.5,1.0,1657,1,1,0,1,2,0,4,96107,"COLEVILLE","CA","California",163500.0
2014,2001,0,3,2.5,2.0,2430,0,1,0,1,1,1,3,98065,"SNOQUALMIE","WA","Washington",515000.0
2015,1987,0,4,2.5,2.0,2610,0,0,1,1,3,1,3,98023,"FEDERAL WAY","WA","Washington",325000.0
2016,1970,1970,3,1.5,2.0,1092,1,0,0,1,1,0,4,96108,"DAVIS CREEK","CA","California",88000.0
2017,2004,2005,3,2.0,1.0,1710,1,1,0,1,2,1,4,96109,"DOYLE","CA","California",240000.0
2018,1996,0,3,2.25,2.0,2000,0,1,1,0,0,1,3,98024,"FALL CITY","WA","Washington",540000.0
2019,1926,1950,4,2.0,1.5,1522,1,0,0,0,0,1,4,96111,"FLORISTON","CA","California",102000.0
2020,1949,0,2,1.0,1.0,920,1,0,0,0,0,1,4,98103,"SEATTLE","WA","Washington",280300.0
2021,1948,1950,4,2.0,1.5,1271,1,1,0,1,1,0,4,96111,"FLORISTON","CA","California",135000.0
2022,1926,0,4,1.75,1.5,1750,1,0,0,0,0,1,5,98117,"SEATTLE","WA","Washington",460000.0
2023,1965,1965,4,2.0,1.0,1664,0,0,0,0,0,0,4,96112,"FORT BIDWELL","CA","California",100000.0
2024,1981,0,3,1.75,1.0,2020,1,1,1,0,0,1,4,98072,"WOODINVILLE","WA","Washington",475000.0
2025,1923,1996,3,1.5,2.0,1502,1,1,0,1,1,1,4,96113,"HERLONG","CA","California",165000.0
2026,1957,0,4,2.25,1.0,2460,0,0,1,1,1,1,4,98007,"BELLEVUE","WA","Washington",900000.0
2027,1910,2006,2,2.0,1.0,1022,1,0,0,1,1,0,4,96141,"HOMEWOOD","CA","California",85000.0
2028,1964,0,4,3.0,1.0,1780,0,1,1,1,2,1,4,98008,"BELLEVUE","WA","Washington",538200.0
2029,1922,0,2,1.0,1.0,1080,0,0,1,0,0,1,3,98122,"SEATTLE","WA","Washington",429000.0
2030,1948,1950,2,1.0,1.0,1082,1,1,0,1,1,0,4,96142,"TAHOMA","CA","California",119200.0
2031,2001,2001,3,3.5,2.0,1665,1,0,0,1,2,0,4,96114,"JANESVILLE","CA","California",227000.0
2032,1980,0,3,1.0,1.0,1250,0,1,0,0,0,0,3,98178,"SEATTLE","WA","Washington",164808.0
2033,1996,1996,3,3.0,1.0,1504,1,1,0,1,2,0,4,96136,"WENDEL","CA","California",203000.0
2034,1977,0,4,2.25,2.0,1870,0,0,1,0,0,0,3,98052,"REDMOND","WA","Washington",520000.0
2035,1984,1984,1,2.0,1.0,1360,1,1,0,1,2,1,5,96143,"KINGS BEACH","CA","California",187500.0
2036,1977,0,3,1.75,1.0,1700,1,1,0,0,0,0,3,98125,"SEATTLE","WA","Washington",475000.0
2037,1991,1992,3,2.5,3.0,1472,1,1,0,1,2,0,4,96115,"LAKE CITY","CA","California",160000.0
2038,1942,0,4,1.5,1.0,1480,0,1,1,0,0,0,5,98168,"SEATTLE","WA","Washington",283000.0
2039,2005,2005,2,2.0,1.0,1506,1,1,0,1,2,0,4,96116,"LIKELY","CA","California",213490.0
2040,2000,0,4,2.5,2.0,1930,0,1,0,0,0,0,3,98030,"KENT","WA","Washington",321500.0
2041,1993,0,4,2.75,2.0,3130,0,1,1,1,1,1,4,98077,"WOODINVILLE","WA","Washington",840000.0
2042,2005,2005,2,2.5,1.0,1132,1,0,0,1,2,1,4,96117,"LITCHFIELD","CA","California",176000.0
2043,1992,0,3,2.25,2.0,1370,0,1,1,1,1,1,4,98038,"MAPLE VALLEY","WA","Washington",287000.0
2044,2006,2006,2,3.0,1.0,1220,1,0,0,1,2,0,5,96118,"LOYALTON","CA","California",194000.0
2045,1962,0,3,1.75,1.0,960,0,1,1,1,3,0,3,98052,"REDMOND","WA","Washington",375000.0
2046,1930,1950,2,1.0,1.5,1248,1,0,0,1,1,0,4,96119,"MADELINE","CA","California",87000.0
2047,2005,2006,2,2.0,1.0,1504,1,1,0,1,2,1,4,96120,"MARKLEEVILLE","CA","California",191000.0
2048,1969,0,3,1.75,1.0,1260,0,0,1,1,1,1,4,98034,"KIRKLAND","WA","Washington",349500.0
2049,1976,1976,2,3.0,1.0,2898,1,1,0,1,2,1,5,96121,"MILFORD","CA","California",287000.0
2050,1960,0,3,1.5,1.0,1480,0,1,0,1,1,1,5,98126,"SEATTLE","WA","Washington",446450.0
2051,1992,0,4,2.5,2.0,1930,0,1,0,0,0,0,4,98031,"KENT","WA","Washington",315000.0
2052,1972,1972,3,2.0,1.0,882,1,0,0,1,2,0,4,96122,"PORTOLA","CA","California",112500.0
2053,1960,1960,3,2.0,1.0,1264,1,1,0,1,2,0,4,96129,"BECKWOURTH","CA","California",167500.0
2054,1906,0,2,1.0,1.5,870,0,0,0,1,3,1,2,98144,"SEATTLE","WA","Washington",271310.0
2055,2007,2008,3,3.0,1.0,1646,1,1,0,1,3,0,5,96123,"RAVENDALE","CA","California",293077.0
2056,1953,0,4,1.0,1.5,1300,0,0,1,1,3,0,4,98133,"SEATTLE","WA","Washington",315000.0
2057,1941,1950,3,2.0,1.5,1376,1,1,0,1,1,1,4,96132,"TERMO","CA","California",105000.0
2058,1990,0,3,1.75,1.0,1490,0,0,1,0,0,0,4,98030,"KENT","WA","Washington",245000.0
2059,1972,1972,3,2.0,2.0,1218,1,0,0,1,1,0,4,96124,"CALPINE","CA","California",118000.0
2060,1947,0,2,1.0,1.0,1380,1,1,0,1,3,1,3,98199,"SEATTLE","WA","Washington",543115.0
2061,1916,1995,5,2.0,2.0,1928,1,0,0,0,0,1,4,96125,"SIERRA CITY","CA","California",160000.0
2062,1945,0,4,2.0,1.5,1190,0,0,0,1,1,1,3,98117,"SEATTLE","WA","Washington",900000.0
2063,1920,1970,5,3.5,2.5,3082,1,1,0,1,2,0,4,96126,"SIERRAVILLE","CA","California",197000.0
2064,2008,0,4,4.25,2.0,4250,1,1,1,0,0,1,4,98144,"SEATTLE","WA","Washington",2450000.0
2065,2003,0,2,2.0,1.0,1920,0,0,0,0,0,0,3,98053,"REDMOND","WA","Washington",554000.0
2066,1993,1993,5,3.5,2.0,2520,1,1,0,1,3,0,5,96150,"SOUTH LAKE TAHOE","CA","California",310000.0
2067,1950,0,3,1.75,1.0,2080,0,1,1,0,0,1,5,98001,"AUBURN","WA","Washington",249900.0
2068,2002,2002,3,3.0,1.0,1654,1,0,0,1,3,1,4,96151,"SOUTH LAKE TAHOE","CA","California",230000.0
2069,1981,0,3,2.5,2.0,3220,1,0,1,1,1,1,4,98006,"BELLEVUE","WA","Washington",768000.0
2070,1938,1950,2,1.0,1.0,954,1,1,0,1,1,0,4,96152,"SOUTH LAKE TAHOE","CA","California",119750.0
2071,1957,1957,3,1.0,1.0,845,0,0,0,1,1,0,4,96154,"SOUTH LAKE TAHOE","CA","California",84000.0
2072,1967,0,4,3.0,1.0,3680,1,0,0,1,2,0,3,98199,"SEATTLE","WA","Washington",980000.0
2073,1962,0,5,2.5,1.0,2070,1,0,0,1,3,0,3,98146,"SEATTLE","WA","Washington",395000.0
2074,2007,2008,2,3.0,1.0,1620,1,1,0,1,1,1,4,96155,"SOUTH LAKE TAHOE","CA","California",315500.0
2075,2001,2002,3,2.5,2.0,2263,1,1,0,1,2,1,4,96156,"SOUTH LAKE TAHOE","CA","California",287000.0
2076,1995,0,3,1.75,2.0,1480,0,0,0,1,2,0,3,98103,"SEATTLE","WA","Washington",415000.0
2077,1970,2008,3,1.5,2.0,1344,1,1,0,0,0,1,4,96157,"SOUTH LAKE TAHOE","CA","California",97000.0
2078,2003,0,4,2.5,2.0,2000,0,0,0,1,3,1,3,98038,"MAPLE VALLEY","WA","Washington",380000.0
2079,1970,1970,1,2.0,3.0,630,1,0,0,1,1,0,4,96158,"SOUTH LAKE TAHOE","CA","California",80000.0
2080,1999,0,3,2.5,2.0,1560,0,1,1,1,2,1,3,98075,"SAMMAMISH","WA","Washington",566000.0
2081,1949,0,2,1.0,1.0,1600,1,1,1,0,0,0,4,98002,"AUBURN","WA","Washington",218500.0
2082,1957,2000,3,3.0,1.0,1803,1,1,0,1,2,0,4,96128,"STANDISH","CA","California",155000.0
2083,1976,0,4,2.5,1.0,1940,1,1,1,0,0,0,4,98052,"REDMOND","WA","Washington",550000.0
2084,1966,2000,4,2.0,2.0,1632,1,0,0,1,2,1,4,96127,"SUSANVILLE","CA","California",173000.0
2085,2005,2005,1,3.0,1.0,1306,1,1,0,1,2,0,4,96130,"SUSANVILLE","CA","California",196000.0
2086,1920,0,3,1.75,1.0,1540,1,0,0,1,1,0,3,98117,"SEATTLE","WA","Washington",512031.0
2087,1990,1990,4,3.5,2.0,2329,1,1,0,1,2,0,4,96145,"TAHOE CITY","CA","California",262280.0
2088,1950,0,2,1.0,1.0,820,0,0,1,0,0,1,3,98055,"RENTON","WA","Washington",197500.0
2089,1981,1981,4,3.5,1.0,2524,1,1,0,1,2,1,4,96146,"OLYMPIC VALLEY","CA","California",278000.0
2090,1977,0,3,2.25,1.0,1780,1,0,1,0,0,1,3,98033,"KIRKLAND","WA","Washington",470000.0
2091,1981,0,3,1.75,1.0,1560,0,0,1,1,2,0,3,98053,"REDMOND","WA","Washington",590000.0
2092,1955,1955,4,2.0,1.0,1733,0,1,0,1,2,0,4,96148,"TAHOE VISTA","CA","California",139600.0
2093,1977,0,4,2.25,1.0,2210,1,1,1,1,2,1,4,98011,"BOTHELL","WA","Washington",465000.0
2094,2005,2006,4,3.5,2.0,2868,1,1,0,1,3,1,5,96133,"TOPAZ","CA","California",556581.0
2095,1994,1995,3,1.5,1.0,990,1,0,0,1,2,1,4,96160,"TRUCKEE","CA","California",145000.0
2096,1968,0,2,1.75,1.0,2040,0,0,1,1,1,0,4,98027,"ISSAQUAH","WA","Washington",499000.0
2097,1972,2000,3,2.25,1.0,1920,0,1,0,1,3,1,3,98006,"BELLEVUE","WA","Washington",515000.0
2098,1960,2006,3,1.0,1.0,1771,0,1,0,1,2,1,4,96161,"TRUCKEE","CA","California",115000.0
2099,1946,2006,2,1.0,1.0,930,0,0,0,1,1,1,5,96162,"TRUCKEE","CA","California",84900.0
2100,1936,0,3,1.75,1.0,1930,1,0,1,1,1,0,3,98105,"SEATTLE","WA","Washington",716500.0
2101,2007,2007,3,2.0,1.0,1302,1,0,0,1,2,0,5,96134,"TULELAKE","CA","California",176485.0
2102,1944,0,3,2.0,1.0,1700,1,1,1,1,2,0,3,98199,"SEATTLE","WA","Washington",410000.0
2103,1994,0,4,3.25,2.0,3450,1,0,1,1,1,1,3,98136,"SEATTLE","WA","Washington",850000.0
2104,2007,2007,3,2.0,1.0,1316,1,1,0,1,2,1,5,96135,"VINTON","CA","California",200141.0
2105,1964,1978,4,2.0,2.0,1977,1,1,0,1,2,1,4,96137,"WESTWOOD","CA","California",165000.0
2106,1983,0,4,3.25,2.0,3440,0,0,1,0,0,1,3,98033,"KIRKLAND","WA","Washington",1050000.0
2107,1992,0,4,2.5,2.0,2380,0,1,1,1,3,0,3,98075,"SAMMAMISH","WA","Washington",648000.0
2108,1957,2002,4,1.0,1.0,1526,1,1,0,1,1,0,4,90201,"BELL GARDENS","CA","California",144500.0
2109,1929,0,4,2.25,1.5,2400,1,1,1,0,0,0,4,98117,"SEATTLE","WA","Washington",620000.0
2110,2002,2002,3,3.5,2.0,1989,1,1,0,1,2,0,4,90202,"BELL","CA","California",255000.0
2111,2008,0,4,4.5,2.0,5670,0,1,0,1,1,0,3,98010,"BLACK DIAMOND","WA","Washington",935000.0
2112,1976,1976,3,2.5,1.0,1523,1,1,0,1,2,1,5,90270,"MAYWOOD","CA","California",180000.0
2113,2005,2005,2,3.0,1.0,1364,1,1,0,1,2,0,4,90209,"BEVERLY HILLS","CA","California",185850.0
2114,1963,0,3,1.0,1.0,1140,0,0,0,0,0,1,4,98034,"KIRKLAND","WA","Washington",379000.0
2115,1994,1994,3,2.5,2.0,1850,1,1,0,1,2,1,4,90210,"BEVERLY HILLS","CA","California",248000.0
2116,1952,0,3,1.75,1.0,1670,1,1,1,1,1,0,3,98199,"SEATTLE","WA","Washington",699000.0
2117,2008,2008,3,3.5,2.0,2184,1,1,0,1,3,0,4,90211,"BEVERLY HILLS","CA","California",335000.0
2118,1960,0,4,2.25,1.0,1910,1,1,1,0,0,0,3,98125,"SEATTLE","WA","Washington",528000.0
2119,1974,0,3,1.75,1.0,1560,0,0,0,1,1,1,4,98056,"RENTON","WA","Washington",425000.0
2120,1932,1950,3,1.5,1.5,1991,1,1,0,1,2,0,4,90212,"BEVERLY HILLS","CA","California",220000.0
2121,2001,2001,2,3.0,1.0,1338,1,0,0,1,2,1,4,90213,"BEVERLY HILLS","CA","California",213500.0
2122,1963,0,2,1.75,1.0,1500,0,0,0,0,0,0,4,98042,"KENT","WA","Washington",249500.0
2123,1935,1950,2,1.0,1.0,894,1,0,0,1,1,0,4,90220,"COMPTON","CA","California",81000.0
2124,2014,0,5,3.25,2.0,4475,0,0,1,1,3,1,3,98053,"REDMOND","WA","Washington",1040000.0
2125,1961,0,4,2.75,1.0,2840,1,1,0,0,0,1,4,98136,"SEATTLE","WA","Washington",790000.0
2126,1900,1950,5,2.0,2.0,2337,1,0,0,1,2,0,4,90221,"COMPTON","CA","California",90000.0
2127,1969,0,3,1.0,1.0,1020,0,0,1,1,3,0,3,98027,"ISSAQUAH","WA","Washington",399950.0
2128,1925,1980,2,1.0,1.0,1103,1,1,0,1,2,0,4,90222,"COMPTON","CA","California",110500.0
2129,1966,1966,3,1.5,1.0,1154,1,1,0,1,2,0,4,90223,"COMPTON","CA","California",154000.0
2130,1953,0,3,1.5,1.0,1410,0,0,0,1,2,1,3,98133,"SEATTLE","WA","Washington",275000.0
2131,1912,0,3,1.0,1.5,1520,0,1,0,0,0,0,3,98109,"SEATTLE","WA","Washington",550000.0
2132,1996,1997,3,3.5,2.0,2260,1,0,0,1,2,1,4,90224,"COMPTON","CA","California",328000.0
2133,1993,1994,3,2.5,2.0,1571,1,1,0,1,2,0,4,90230,"CULVER CITY","CA","California",178000.0
2134,1926,0,1,1.0,1.0,730,0,1,1,1,3,0,4,98055,"RENTON","WA","Washington",140000.0
2135,1964,1964,4,2.5,2.0,1611,1,0,0,1,2,1,4,90231,"CULVER CITY","CA","California",167900.0
2136,1954,0,3,1.0,1.0,1190,1,0,1,0,0,0,3,98108,"SEATTLE","WA","Washington",250000.0
2137,1988,0,3,2.25,2.0,1410,0,0,0,1,1,0,3,98198,"SEATTLE","WA","Washington",318000.0
2138,1973,1973,5,3.5,2.0,2521,1,1,0,1,2,0,4,90232,"CULVER CITY","CA","California",151400.0
2139,1962,0,2,1.0,1.0,1240,0,1,1,1,1,1,3,98075,"SAMMAMISH","WA","Washington",505000.0
2140,1949,2003,2,1.5,1.5,893,1,0,0,1,2,0,4,90233,"CULVER CITY","CA","California",135000.0
2141,1966,0,5,2.5,1.0,2500,1,0,1,1,1,0,3,98006,"BELLEVUE","WA","Washington",470500.0
2142,1956,1956,3,2.0,1.0,1048,1,0,0,1,1,0,4,90239,"DOWNEY","CA","California",135000.0
2143,1968,1968,4,1.5,2.0,1556,1,0,0,1,2,1,4,90240,"DOWNEY","CA","California",154000.0
2144,1954,0,3,1.0,1.5,1050,0,1,0,0,0,0,3,98125,"SEATTLE","WA","Washington",360000.0
2145,1962,0,4,2.75,1.0,2680,1,1,0,0,0,0,4,98006,"BELLEVUE","WA","Washington",1240000.0
2146,1948,1950,4,2.5,1.5,1456,1,1,0,1,1,0,4,90241,"DOWNEY","CA","California",91500.0
2147,1964,0,3,2.5,1.0,2380,1,0,0,1,2,0,4,98136,"SEATTLE","WA","Washington",986000.0
2148,1977,1977,3,1.5,2.0,1426,1,0,0,1,2,0,4,90242,"DOWNEY","CA","California",159500.0
2149,1906,0,2,1.0,1.0,1060,1,0,1,0,0,1,3,98112,"SEATTLE","WA","Washington",515000.0
2150,2006,2006,2,2.0,1.0,1240,1,0,0,1,1,0,4,90245,"EL SEGUNDO","CA","California",194000.0
2151,1939,0,3,1.75,1.0,2300,1,1,0,0,0,1,4,98168,"SEATTLE","WA","Washington",320000.0
2152,1940,1984,3,1.5,2.0,1740,1,1,0,1,1,0,4,90247,"GARDENA","CA","California",219500.0
2153,1951,0,4,3.0,1.0,2010,1,1,0,1,1,0,5,98178,"SEATTLE","WA","Washington",310000.0
2154,1936,1989,3,2.5,1.5,1466,1,1,0,1,2,0,4,90248,"GARDENA","CA","California",170000.0
2155,1969,1969,3,2.0,1.0,1096,1,0,0,1,1,0,5,90249,"GARDENA","CA","California",138800.0
2156,1942,0,2,1.0,1.0,1090,1,1,0,1,1,1,4,98126,"SEATTLE","WA","Washington",356700.0
2157,1956,0,4,1.75,1.0,2320,1,0,1,1,3,0,3,98199,"SEATTLE","WA","Washington",775000.0
2158,2004,2004,1,2.0,1.0,848,1,1,0,1,2,1,4,90250,"HAWTHORNE","CA","California",155900.0
2159,1994,1994,3,1.0,1.0,990,1,0,0,1,1,0,4,90251,"HAWTHORNE","CA","California",126000.0
2160,1951,0,3,1.0,1.0,1040,0,0,0,0,0,1,3,98133,"SEATTLE","WA","Washington",325000.0
2161,1962,0,4,2.75,1.5,1810,0,0,1,0,0,0,3,98198,"SEATTLE","WA","Washington",208000.0
2162,1971,2004,3,2.5,1.0,1258,1,0,0,1,2,0,5,90255,"HUNTINGTON PARK","CA","California",145000.0
2163,1908,0,2,1.0,1.0,1150,0,0,1,1,2,1,4,98178,"SEATTLE","WA","Washington",825000.0
2164,1963,1963,3,2.5,1.0,1040,1,0,0,1,1,1,4,90301,"INGLEWOOD","CA","California",133000.0
2165,1990,0,3,2.5,1.0,2360,0,0,0,0,0,0,3,98003,"FEDERAL WAY","WA","Washington",515000.0
2166,2002,2002,3,2.0,1.0,1459,1,1,0,1,2,1,4,90302,"INGLEWOOD","CA","California",192000.0
2167,1929,0,3,1.5,1.5,1970,1,0,0,0,0,1,4,98122,"SEATTLE","WA","Washington",490000.0
2168,1964,1964,3,2.0,1.0,1251,1,1,0,1,1,0,4,90303,"INGLEWOOD","CA","California",160000.0
2169,1995,1996,3,2.5,2.0,1498,1,1,0,1,2,0,4,90304,"INGLEWOOD","CA","California",187500.0
2170,1954,1999,4,3.0,1.0,2690,0,0,1,1,1,1,3,98166,"SEATTLE","WA","Washington",675000.0
2171,1962,0,4,2.5,1.0,2080,1,0,1,1,3,1,5,98144,"SEATTLE","WA","Washington",360000.0
2172,1992,1992,2,2.0,3.0,996,1,0,0,1,2,0,4,90305,"INGLEWOOD","CA","California",147000.0
2173,1973,1973,3,1.5,2.0,1092,1,0,0,1,1,0,4,90306,"INGLEWOOD","CA","California",83500.0
2174,1962,0,4,2.5,1.0,2080,1,1,0,1,1,1,5,98144,"SEATTLE","WA","Washington",550000.0
2175,1962,0,3,1.5,1.0,1370,0,1,1,1,1,1,3,98168,"SEATTLE","WA","Washington",225000.0
2176,2005,2006,3,2.5,2.0,1953,1,1,0,1,3,0,4,90307,"INGLEWOOD","CA","California",252000.0
2177,1967,0,3,2.75,1.5,3410,0,1,0,1,2,0,4,98058,"RENTON","WA","Washington",500000.0
2178,2004,2004,3,2.0,2.0,1709,1,0,0,1,2,1,4,90308,"INGLEWOOD","CA","California",137500.0
2179,1969,0,4,2.0,1.0,1850,0,0,0,0,0,1,4,98059,"RENTON","WA","Washington",385000.0
2180,2005,2005,1,2.5,1.0,1247,1,1,0,1,2,1,4,90309,"INGLEWOOD","CA","California",197000.0
2181,1994,0,5,2.75,2.0,3010,0,0,0,1,2,0,3,98052,"REDMOND","WA","Washington",837700.0
2182,1950,1950,2,2.0,1.0,1040,0,0,0,1,2,0,4,90310,"INGLEWOOD","CA","California",92900.0
2183,1999,2000,2,3.5,2.0,1252,1,0,0,1,2,0,4,90311,"INGLEWOOD","CA","California",160000.0
2184,2003,0,3,2.25,2.0,1530,0,1,0,1,2,0,3,98053,"REDMOND","WA","Washington",448000.0
2185,1952,0,5,1.75,1.0,2690,1,1,1,0,0,0,4,98004,"BELLEVUE","WA","Washington",730000.0
2186,1925,1950,4,2.0,1.5,1694,1,1,0,1,2,0,4,90312,"INGLEWOOD","CA","California",136500.0
2187,1954,0,4,1.5,1.0,2810,1,0,0,0,0,1,3,98136,"SEATTLE","WA","Washington",575000.0
2188,1965,1998,1,2.5,1.0,1200,1,0,0,1,2,0,4,90260,"LAWNDALE","CA","California",146000.0
2189,1956,2000,2,2.0,1.0,936,1,0,0,1,1,1,4,90261,"LAWNDALE","CA","California",129000.0
2190,1976,0,3,1.75,1.0,1810,1,1,1,0,0,0,4,98034,"KIRKLAND","WA","Washington",430000.0
2191,2002,0,3,2.5,2.0,1560,0,0,0,0,0,0,3,98053,"REDMOND","WA","Washington",435000.0
2192,2006,2006,3,2.0,1.0,1314,1,1,0,1,2,0,4,90001,"LOS ANGELES","CA","California",176432.0
2193,1973,0,3,1.0,1.0,1010,0,1,1,0,0,0,4,98092,"AUBURN","WA","Washington",241000.0
2194,1914,2006,3,1.5,2.0,1355,1,0,0,0,0,1,4,90002,"LOS ANGELES","CA","California",127000.0
2195,1986,1986,2,1.5,1.0,1088,1,0,0,1,2,1,4,90003,"LOS ANGELES","CA","California",170000.0
